name	id	q_cover	e_val	hit_length
interferon-induced GTP-binding protein Mx1 isoform X1 [Nomascus leucogenys]	XP_012357180.1	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx1 [Nomascus leucogenys]	NP_001267031.1	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx2 [Nomascus leucogenys]	XP_030662121.1	0.9396681749622926	0.0	625
LOW QUALITY PROTEIN: dynamin-2 [Nomascus leucogenys]	XP_030676711.1	0.717948717948718	2.75758e-68	488
dynamin-1 isoform X5 [Nomascus leucogenys]	XP_030673783.1	0.6440422322775264	3.08156e-68	439
dynamin-1 isoform X1 [Nomascus leucogenys]	XP_030673778.1	0.6440422322775264	4.2157e-68	439
dynamin-1 isoform X3 [Nomascus leucogenys]	XP_030673780.1	0.7104072398190046	4.25645e-67	482
dynamin-1 isoform X2 [Nomascus leucogenys]	XP_030673779.1	0.7104072398190046	4.73829e-67	482
dynamin-1 isoform X4 [Nomascus leucogenys]	XP_030673781.1	0.7104072398190046	7.20105e-67	482
dynamin-3 isoform X8 [Nomascus leucogenys]	XP_012366990.1	0.6395173453996983	6.84159e-66	434
dynamin-3 isoform X6 [Nomascus leucogenys]	XP_003258928.1	0.6395173453996983	8.7908e-66	434
dynamin-3 isoform X3 [Nomascus leucogenys]	XP_003258929.1	0.6395173453996983	8.85373e-66	434
dynamin-3 isoform X2 [Nomascus leucogenys]	XP_004089863.1	0.6395173453996983	8.94092e-66	434
dynamin-3 isoform X7 [Nomascus leucogenys]	XP_012366989.1	0.6395173453996983	9.31278e-66	434
dynamin-3 isoform X4 [Nomascus leucogenys]	XP_030679829.1	0.6395173453996983	1.00546e-65	434
dynamin-3 isoform X5 [Nomascus leucogenys]	XP_030679830.1	0.6395173453996983	1.20194e-65	434
dynamin-3 isoform X1 [Nomascus leucogenys]	XP_030679827.1	0.6395173453996983	1.41828e-65	434
dynamin-1-like protein isoform X10 [Nomascus leucogenys]	XP_030660728.1	0.6832579185520362	1.98326e-53	474
dynamin-1-like protein isoform X12 [Nomascus leucogenys]	XP_030660730.1	0.6832579185520362	2.21829e-53	474
dynamin-1-like protein isoform X8 [Nomascus leucogenys]	XP_030660726.1	0.6832579185520362	2.27543e-53	474
dynamin-1-like protein isoform X9 [Nomascus leucogenys]	XP_030660727.1	0.6832579185520362	2.65817e-53	481
dynamin-1-like protein isoform X7 [Nomascus leucogenys]	XP_030660725.1	0.6832579185520362	5.78638e-52	488
dynamin-1-like protein isoform X11 [Nomascus leucogenys]	XP_030660729.1	0.6832579185520362	5.84314e-52	488
dynamin-1-like protein isoform X6 [Nomascus leucogenys]	XP_030660723.1	0.6832579185520362	6.37781e-52	488
dynamin-1-like protein isoform X2 [Nomascus leucogenys]	XP_030660718.1	0.5520361990950227	2.50484e-37	373
dynamin-1-like protein isoform X1 [Nomascus leucogenys]	XP_030660717.1	0.5520361990950227	2.79002e-37	373
dynamin-1-like protein isoform X3 [Nomascus leucogenys]	XP_030660719.1	0.5520361990950227	3.12507e-37	373
dynamin-1-like protein isoform X4 [Nomascus leucogenys]	XP_030660720.1	0.4796380090497738	1.13809e-25	325
dynamin-1-like protein isoform X5 [Nomascus leucogenys]	XP_030660722.1	0.4796380090497738	1.57849e-25	325
LOW QUALITY PROTEIN: dynamin-like 120 kDa protein, mitochondrial [Nomascus leucogenys]	XP_030678668.1	0.3815987933634992	1.49892e-19	260
dynamin-like 120 kDa protein, mitochondrial [Nomascus leucogenys]	XP_030678856.1	0.4193061840120664	2.06263e-19	285
LOW QUALITY PROTEIN: dynamin-like 120 kDa protein, mitochondrial, partial [Nomascus leucogenys]	XP_030664823.1	0.4193061840120664	3.4819e-19	285
GRB2-associated and regulator of MAPK protein 2 isoform X1 [Nomascus leucogenys]	XP_030655931.1	0.08748114630467571	0.586038	60
ankyrin and armadillo repeat-containing protein [Nomascus leucogenys]	XP_003253891.1	0.14177978883861236	0.653389	104
GRB2-associated and regulator of MAPK protein 2 isoform X2 [Nomascus leucogenys]	XP_030655932.1	0.08748114630467571	0.724034	60
mitofusin-1-like [Nomascus leucogenys]	XP_030678710.1	0.05279034690799397	1.21886	36
reticulocalbin-2 [Nomascus leucogenys]	XP_003275473.1	0.05429864253393665	1.48438	39
DNA annealing helicase and endonuclease ZRANB3 [Nomascus leucogenys]	XP_030657139.1	0.11613876319758673	1.98675	77
LOW QUALITY PROTEIN: interferon-induced very large GTPase 1-like [Nomascus leucogenys]	XP_030685595.1	0.05731523378582202	3.71839	38
mitofusin-1 [Nomascus leucogenys]	XP_030678709.1	0.473604826546003	6.55524	346
