Protein_ID	Accession	ID	Seq_length	Evalue	Bitscore	Tot_aln_span	Identity	Taxid	Organism_name	Description
NP_001180594.1	NP_001180594	ref|NP_001180594.1|	166	1.9427e-120	342.813	166	100.0	9598	Pan troglodytes	interferon gamma precursor [Pan troglodytes]
AAD01533.1	AAD01533	gb|AAD01533.1|	129	4.60906e-81	242.276	129	100.0	57176	Aotus vociferans	gamma-interferon, partial [Aotus vociferans]
XP_011725532.1	XP_011725532	ref|XP_011725532.1|	151	1.09687e-80	241.891	134	88.079	9545	Macaca nemestrina	interferon gamma isoform X2 [Macaca nemestrina]
AAD48012.1	AAD48012	gb|AAD48012.1|	143	4.05088e-100	290.812	143	100.0	9600	Pongo pygmaeus	interferon gamma precursor, partial [Pongo pygmaeus]
XP_008002136.1	XP_008002136	ref|XP_008002136.1|	165	3.56407e-112	322.013	166	100.0	60711	Chlorocebus sabaeus	interferon gamma isoform X1 [Chlorocebus sabaeus]
XP_008588660.1	XP_008588660	ref|XP_008588660.1|	165	7.67933e-78	235.343	165	100.0	482537	Galeopterus variegatus	PREDICTED: interferon gamma-like [Galeopterus variegatus]
Q5I6S9.1	Q5I6S9	sp|Q5I6S9.1|	165	9.0736e-111	318.546	166	100.0	54602	Macaca thibetana	RecName: Full=Interferon gamma; Short=IFN-gamma; Flags: Precursor
AAF21301.1	AAF21301	gb|AAF21301.1|	142	1.32269e-91	269.24	142	100.0	57175	Aotus nigriceps	interferon gamma, partial [Aotus nigriceps]
XP_011784659.1	XP_011784659	ref|XP_011784659.1|	165	2.70897e-112	322.398	166	100.0	336983	Colobus angolensis palliatus	PREDICTED: interferon gamma [Colobus angolensis palliatus]
ACM45781.1	ACM45781	gb|ACM45781.1|	166	1.81768e-109	315.079	166	100.0	9488	Saguinus mystax	interferon gamma [Saguinus mystax]
XP_006189752.1	XP_006189752	ref|XP_006189752.1|	166	4.37761e-76	230.72	166	100.0	419612	Camelus ferus	interferon gamma [Camelus ferus]
XP_017367758.1	XP_017367758	ref|XP_017367758.1|	166	1.79188e-111	320.472	166	100.0	2715852	Cebus imitator	interferon gamma [Cebus imitator]
XP_023051106.1	XP_023051106	ref|XP_023051106.1|	165	3.76508e-112	322.013	166	100.0	591936	Piliocolobus tephrosceles	interferon gamma [Piliocolobus tephrosceles]
XP_003926592.1	XP_003926592	ref|XP_003926592.1|	166	7.80899e-110	316.235	166	100.0	39432	Saimiri boliviensis boliviensis	interferon gamma [Saimiri boliviensis boliviensis]
XP_032143937.1	XP_032143937	ref|XP_032143937.1|	166	3.61658e-111	319.701	166	100.0	9515	Sapajus apella	interferon gamma [Sapajus apella]
XP_011947219.1	XP_011947219	ref|XP_011947219.1|	165	1.47048e-110	317.775	166	100.0	9531	Cercocebus atys	PREDICTED: interferon gamma [Cercocebus atys]
XP_002823542.1	XP_002823542	ref|XP_002823542.1|	166	1.37038e-119	340.887	166	100.0	9601	Pongo abelii	interferon gamma [Pongo abelii]
AAD48013.1	AAD48013	gb|AAD48013.1|	143	2.21901e-99	288.886	143	100.0	9580	Hylobates lar	interferon gamma precursor, partial [Hylobates lar]
NP_001244155.1	NP_001244155	ref|NP_001244155.1|	166	1.96279e-109	315.079	166	100.0	9483	Callithrix jacchus	interferon gamma precursor [Callithrix jacchus]
NP_000610.2	NP_000610	ref|NP_000610.2|	166	4.13349e-121	344.739	166	100.0	9606	Homo sapiens	interferon gamma precursor [Homo sapiens]
XP_006740065.1	XP_006740065	ref|XP_006740065.1|	166	8.65149e-77	232.646	166	100.0	9713	Leptonychotes weddellii	interferon gamma [Leptonychotes weddellii]
XP_011831975.1	XP_011831975	ref|XP_011831975.1|	165	3.73058e-111	319.316	166	100.0	9568	Mandrillus leucophaeus	PREDICTED: interferon gamma [Mandrillus leucophaeus]
AAD48015.1	AAD48015	gb|AAD48015.1|	143	1.32052e-101	294.664	143	100.0	9593	Gorilla gorilla	interferon gamma precursor, partial [Gorilla gorilla]
ABS29000.1	ABS29000	gb|ABS29000.1|	166	9.97569e-77	232.646	166	100.0	9809	Rhinoceros unicornis	interferon-gamma [Rhinoceros unicornis]
