name	id	q_cover	e_val	hit_length
interferon-induced GTP-binding protein Mx1 isoform X1 [Gorilla gorilla gorilla]	XP_018873130.1	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx1 isoform X2 [Gorilla gorilla gorilla]	XP_030860937.1	0.6410256410256411	0.0	425
interferon-induced GTP-binding protein Mx2 [Gorilla gorilla gorilla]	XP_004062883.3	0.9396681749622926	0.0	626
dynamin-2 [Gorilla gorilla gorilla]	XP_030860281.1	0.7073906485671192	1.48221e-69	481
dynamin-1 isoform X7 [Gorilla gorilla gorilla]	XP_030870125.1	0.6440422322775264	2.79295e-68	439
dynamin-1 isoform X2 [Gorilla gorilla gorilla]	XP_030870117.1	0.6440422322775264	3.00642e-68	439
dynamin-1 isoform X4 [Gorilla gorilla gorilla]	XP_030870119.1	0.6440422322775264	3.82087e-68	439
dynamin-1 isoform X5 [Gorilla gorilla gorilla]	XP_030870120.1	0.7104072398190046	3.12988e-67	482
dynamin-1 isoform X3 [Gorilla gorilla gorilla]	XP_030870118.1	0.7104072398190046	3.28311e-67	482
dynamin-1 isoform X1 [Gorilla gorilla gorilla]	XP_030870116.1	0.7104072398190046	3.34336e-67	482
dynamin-1 isoform X6 [Gorilla gorilla gorilla]	XP_030870121.1	0.7104072398190046	5.03774e-67	482
dynamin-3 isoform X8 [Gorilla gorilla gorilla]	XP_018882239.1	0.6395173453996983	1.08171e-65	434
dynamin-3 isoform X3 [Gorilla gorilla gorilla]	XP_018882218.1	0.6395173453996983	1.42609e-65	434
dynamin-3 isoform X7 [Gorilla gorilla gorilla]	XP_030868174.1	0.6395173453996983	1.48575e-65	434
dynamin-3 isoform X2 [Gorilla gorilla gorilla]	XP_018882216.1	0.6395173453996983	1.5893e-65	434
dynamin-3 isoform X4 [Gorilla gorilla gorilla]	XP_018882220.1	0.6395173453996983	1.66839e-65	434
dynamin-3 isoform X5 [Gorilla gorilla gorilla]	XP_018882227.1	0.6395173453996983	1.73586e-65	434
dynamin-3 isoform X1 [Gorilla gorilla gorilla]	XP_018882212.1	0.6395173453996983	2.02659e-65	434
dynamin-3 isoform X6 [Gorilla gorilla gorilla]	XP_018882231.1	0.6395173453996983	2.32521e-65	434
dynamin-1-like protein isoform X5 [Gorilla gorilla gorilla]	XP_018894210.1	0.6832579185520362	1.83302e-53	474
dynamin-1-like protein isoform X7 [Gorilla gorilla gorilla]	XP_018894212.1	0.6832579185520362	2.13252e-53	474
dynamin-1-like protein isoform X4 [Gorilla gorilla gorilla]	XP_018894209.1	0.6832579185520362	2.18672e-53	474
dynamin-1-like protein isoform X1 [Gorilla gorilla gorilla]	XP_018894206.1	0.6832579185520362	2.87708e-53	474
dynamin-1-like protein isoform X6 [Gorilla gorilla gorilla]	XP_018894211.1	0.6832579185520362	4.80364e-52	488
dynamin-1-like protein isoform X2 [Gorilla gorilla gorilla]	XP_018894207.1	0.6832579185520362	4.94796e-52	488
dynamin-1-like protein isoform X3 [Gorilla gorilla gorilla]	XP_018894208.1	0.6832579185520362	5.14441e-52	488
dynamin-like 120 kDa protein, mitochondrial isoform X2 [Gorilla gorilla gorilla]	XP_004038271.1	0.4193061840120664	1.89808e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X1 [Gorilla gorilla gorilla]	XP_004038272.1	0.4193061840120664	1.93529e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X4 [Gorilla gorilla gorilla]	XP_004038270.1	0.4193061840120664	2.03866e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X3 [Gorilla gorilla gorilla]	XP_004038273.1	0.4193061840120664	2.09899e-19	285
dynamin-1-like protein isoform X8 [Gorilla gorilla gorilla]	XP_018894213.1	0.34087481146304677	0.113148	233
GRB2-associated and regulator of MAPK protein 2 isoform X1 [Gorilla gorilla gorilla]	XP_030863819.1	0.08748114630467571	0.531058	60
ankyrin and armadillo repeat-containing protein [Gorilla gorilla gorilla]	XP_030864539.1	0.14177978883861236	0.602343	104
GRB2-associated and regulator of MAPK protein 2 isoform X2 [Gorilla gorilla gorilla]	XP_030863820.1	0.08748114630467571	0.684859	60
mitofusin-1 [Gorilla gorilla gorilla]	XP_004038091.1	0.05279034690799397	1.20321	36
reticulocalbin-2 isoform X1 [Gorilla gorilla gorilla]	XP_030858198.1	0.05580693815987934	1.40709	40
GRB2-associated and regulator of MAPK protein 2 isoform X3 [Gorilla gorilla gorilla]	XP_030863821.1	0.07541478129713423	1.62577	50
reticulocalbin-2 isoform X2 [Gorilla gorilla gorilla]	XP_004056623.2	0.05429864253393665	1.70001	39
DNA annealing helicase and endonuclease ZRANB3 [Gorilla gorilla gorilla]	XP_004032638.2	0.11613876319758673	9.61548	77
