name	id	q_cover	e_val	hit_length
interferon-induced GTP-binding protein Mx1 isoform X1 [Macaca mulatta]	XP_014988323.2	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx1 [Macaca mulatta]	NP_001073161.1	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx2 [Macaca mulatta]	NP_001073164.1	0.9396681749622926	0.0	626
dynamin-2 isoform X11 [Macaca mulatta]	XP_014978376.1	0.6485671191553545	1.18331e-68	439
dynamin-2 isoform X9 [Macaca mulatta]	XP_014978374.1	0.6485671191553545	1.37791e-68	439
dynamin-2 isoform X7 [Macaca mulatta]	XP_014978372.1	0.6485671191553545	1.4886e-68	439
dynamin-2 [Macaca mulatta]	NP_001252641.1	0.6485671191553545	1.55293e-68	439
dynamin-2 isoform X10 [Macaca mulatta]	XP_014978375.1	0.717948717948718	1.63264e-68	488
dynamin-2 isoform X5 [Macaca mulatta]	XP_028694295.1	0.6485671191553545	1.78834e-68	439
dynamin-2 isoform X1 [Macaca mulatta]	XP_014978367.1	0.6485671191553545	1.97721e-68	439
dynamin-2 isoform X4 [Macaca mulatta]	XP_014978370.1	0.6485671191553545	1.98008e-68	439
dynamin-2 isoform X3 [Macaca mulatta]	XP_014978369.1	0.6485671191553545	2.09458e-68	439
dynamin-2 isoform X8 [Macaca mulatta]	XP_014978373.1	0.717948717948718	3.57945e-68	488
dynamin-2 isoform X2 [Macaca mulatta]	XP_014978368.1	0.717948717948718	3.70182e-68	488
dynamin-2 isoform X6 [Macaca mulatta]	XP_014978371.1	0.717948717948718	3.96359e-68	488
dynamin-1 isoform X7 [Macaca mulatta]	XP_014972228.1	0.6440422322775264	4.08991e-68	439
dynamin-1 isoform X2 [Macaca mulatta]	XP_014972216.1	0.6440422322775264	4.4025e-68	439
dynamin-3 isoform X13 [Macaca mulatta]	XP_028706293.1	0.6395173453996983	5.16946e-68	434
dynamin-3 isoform X12 [Macaca mulatta]	XP_028706287.1	0.6395173453996983	5.30475e-68	434
dynamin-1 isoform X3 [Macaca mulatta]	XP_014972219.1	0.6440422322775264	5.59516e-68	439
dynamin-3 isoform X11 [Macaca mulatta]	XP_028706285.1	0.6395173453996983	8.11364e-68	434
dynamin-3 isoform X10 [Macaca mulatta]	XP_028706284.1	0.6395173453996983	1.01652e-67	434
dynamin-1 isoform X5 [Macaca mulatta]	XP_014972220.1	0.7104072398190046	4.58329e-67	482
dynamin-1 isoform X4 [Macaca mulatta]	XP_014972218.1	0.7104072398190046	4.80768e-67	482
dynamin-1 isoform X1 [Macaca mulatta]	XP_014972215.1	0.7104072398190046	4.89591e-67	482
dynamin-1 isoform X6 [Macaca mulatta]	XP_014972221.1	0.7104072398190046	7.3771e-67	482
dynamin-3 isoform X8 [Macaca mulatta]	XP_014979586.2	0.6395173453996983	1.01293e-65	434
dynamin-3 isoform X3 [Macaca mulatta]	XP_001100178.2	0.6395173453996983	1.21057e-65	434
dynamin-3 isoform X6 [Macaca mulatta]	XP_002802111.2	0.6395173453996983	1.22607e-65	434
dynamin-3 isoform X2 [Macaca mulatta]	XP_014979556.2	0.6395173453996983	1.28455e-65	434
dynamin-3 isoform X4 [Macaca mulatta]	XP_014979570.2	0.6395173453996983	1.30826e-65	434
dynamin-3 isoform X7 [Macaca mulatta]	XP_028706280.1	0.6395173453996983	1.42021e-65	434
dynamin-3 isoform X5 [Macaca mulatta]	XP_014979578.2	0.6395173453996983	1.74413e-65	434
dynamin-3 isoform X1 [Macaca mulatta]	XP_014979548.2	0.6395173453996983	1.79147e-65	434
dynamin-1-like protein isoform X7 [Macaca mulatta]	XP_001085903.2	0.6832579185520362	4.46604e-53	474
dynamin-1-like protein isoform X3 [Macaca mulatta]	XP_001086230.2	0.6832579185520362	4.49252e-53	474
dynamin-1-like protein isoform X4 [Macaca mulatta]	XP_001086126.2	0.6832579185520362	5.09694e-53	474
dynamin-1-like protein isoform X8 [Macaca mulatta]	XP_001086009.2	0.6832579185520362	5.27197e-53	474
dynamin-1-like protein isoform X5 [Macaca mulatta]	XP_015006902.1	0.6832579185520362	8.71552e-52	488
dynamin-1-like protein isoform X6 [Macaca mulatta]	XP_001085793.2	0.6832579185520362	1.34142e-51	488
dynamin-1-like protein isoform X2 [Macaca mulatta]	XP_015006901.1	0.6832579185520362	1.40736e-51	488
dynamin-1-like protein isoform X1 [Macaca mulatta]	XP_002798572.2	0.6832579185520362	1.53262e-51	488
dynamin-3 isoform X9 [Macaca mulatta]	XP_028706283.1	0.4751131221719457	1.58248e-45	319
dynamin-like 120 kDa protein, mitochondrial isoform X4 [Macaca mulatta]	XP_014988011.1	0.4193061840120664	2.57669e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X3 [Macaca mulatta]	XP_014988010.1	0.4193061840120664	2.58503e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X2 [Macaca mulatta]	XP_001087037.2	0.37858220211161386	2.75553e-19	257
dynamin-like 120 kDa protein, mitochondrial isoform X1 [Macaca mulatta]	XP_014988009.1	0.4193061840120664	2.8586e-19	285
ankyrin and armadillo repeat-containing protein isoform X13 [Macaca mulatta]	XP_014966024.2	0.14630467571644043	0.0969028	107
ankyrin and armadillo repeat-containing protein isoform X10 [Macaca mulatta]	XP_028686762.1	0.14177978883861236	0.124785	104
ankyrin and armadillo repeat-containing protein isoform X8 [Macaca mulatta]	XP_028686759.1	0.14630467571644043	0.149044	107
