name	id	q_cover	e_val	hit_length
interferon-induced GTP-binding protein Mx1 [Pongo abelii]	NP_001127618.1	0.9984917043740573	0.0	662
interferon-induced GTP-binding protein Mx2 [Pongo abelii]	XP_002830747.1	0.942684766214178	0.0	628
dynamin-1 isoform X5 [Pongo abelii]	XP_024107764.1	0.6440422322775264	2.04575e-68	439
dynamin-1 isoform X4 [Pongo abelii]	XP_024107763.1	0.6440422322775264	2.7135e-68	439
dynamin-1 isoform X1 [Pongo abelii]	XP_024107760.1	0.6440422322775264	2.9209e-68	439
dynamin-1 isoform X3 [Pongo abelii]	XP_024107762.1	0.6440422322775264	3.39364e-68	439
dynamin-3 isoform X6 [Pongo abelii]	XP_024104986.1	0.6395173453996983	3.42975e-68	434
dynamin-3 isoform X5 [Pongo abelii]	XP_024104985.1	0.6395173453996983	3.48818e-68	437
dynamin-1 isoform X6 [Pongo abelii]	XP_024107765.1	0.6440422322775264	3.71218e-68	439
dynamin-1 isoform X2 [Pongo abelii]	XP_024107761.1	0.6440422322775264	3.85198e-68	439
dynamin-2 isoform X6 [Pongo abelii]	XP_024092419.1	0.6485671191553545	4.78495e-68	439
dynamin-2 isoform X7 [Pongo abelii]	XP_024092420.1	0.6485671191553545	4.86992e-68	439
dynamin-2 isoform X4 [Pongo abelii]	XP_024092417.1	0.6485671191553545	5.42913e-68	439
dynamin-2 isoform X2 [Pongo abelii]	XP_024092415.1	0.6485671191553545	5.83378e-68	439
dynamin-2 isoform X5 [Pongo abelii]	XP_024092418.1	0.717948717948718	7.27065e-68	488
dynamin-2 isoform X3 [Pongo abelii]	XP_024092416.1	0.717948717948718	1.49844e-67	488
dynamin-2 isoform X1 [Pongo abelii]	XP_024092414.1	0.717948717948718	1.8688e-67	488
dynamin-1 isoform X7 [Pongo abelii]	XP_024107766.1	0.7104072398190046	3.18972e-67	482
dynamin-3 isoform X4 [Pongo abelii]	XP_024104984.1	0.6395173453996983	7.6472e-66	434
dynamin-3 isoform X2 [Pongo abelii]	XP_024104982.1	0.6395173453996983	8.43994e-66	434
dynamin-3 isoform X1 [Pongo abelii]	XP_024104981.1	0.6395173453996983	8.77963e-66	434
dynamin-3 isoform X3 [Pongo abelii]	XP_024104983.1	0.6395173453996983	8.89432e-66	434
dynamin-1-like protein isoform X5 [Pongo abelii]	XP_024113216.1	0.6832579185520362	1.78088e-53	474
dynamin-1-like protein isoform X7 [Pongo abelii]	XP_024113218.1	0.6832579185520362	2.07186e-53	474
dynamin-1-like protein isoform X3 [Pongo abelii]	XP_024113214.1	0.6832579185520362	2.12452e-53	474
dynamin-1-like protein isoform X1 [Pongo abelii]	XP_024113212.1	0.6832579185520362	2.79524e-53	474
dynamin-1-like protein isoform X2 [Pongo abelii]	XP_024113213.1	0.6455505279034691	4.65069e-53	449
dynamin-1-like protein isoform X4 [Pongo abelii]	XP_024113215.1	0.6455505279034691	4.79696e-53	449
dynamin-1-like protein isoform X6 [Pongo abelii]	XP_024113217.1	0.6455505279034691	4.93999e-53	449
dynamin-like 120 kDa protein, mitochondrial precursor [Pongo abelii]	NP_001125695.1	0.4193061840120664	1.6948e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X5 [Pongo abelii]	XP_024099817.1	0.4193061840120664	1.83766e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X3 [Pongo abelii]	XP_024099815.1	0.4193061840120664	1.83807e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X1 [Pongo abelii]	XP_024099812.1	0.4193061840120664	1.88024e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X4 [Pongo abelii]	XP_024099816.1	0.4193061840120664	1.91825e-19	285
dynamin-like 120 kDa protein, mitochondrial isoform X2 [Pongo abelii]	XP_024099814.1	0.37858220211161386	2.02827e-19	257
GRB2-associated and regulator of MAPK protein 2 isoform X1 [Pongo abelii]	XP_024098084.1	0.08748114630467571	0.490217	60
ankyrin and armadillo repeat-containing protein [Pongo abelii]	XP_002812718.2	0.14177978883861236	0.605438	104
mitofusin-1 [Pongo abelii]	XP_009237837.2	0.05279034690799397	1.14918	36
reticulocalbin-2 [Pongo abelii]	XP_002825754.1	0.05429864253393665	1.37685	39
LOW QUALITY PROTEIN: interferon-induced very large GTPase 1-like [Pongo abelii]	XP_009244962.2	0.05731523378582202	3.03431	38
DNA annealing helicase and endonuclease ZRANB3 isoform X3 [Pongo abelii]	XP_024099574.1	0.11613876319758673	6.70008	77
DNA annealing helicase and endonuclease ZRANB3 isoform X2 [Pongo abelii]	XP_024099573.1	0.11613876319758673	6.83882	77
DNA annealing helicase and endonuclease ZRANB3 isoform X1 [Pongo abelii]	XP_024099572.1	0.11613876319758673	7.07712	77
DNA annealing helicase and endonuclease ZRANB3 isoform X4 [Pongo abelii]	XP_024099575.1	0.11613876319758673	7.31842	77
