name	id	q_cover	e_val	hit_length
PREDICTED: interferon-induced GTP-binding protein Mx1 [Mandrillus leucophaeus]	XP_011839575.1	0.9984917043740573	0.0	662
PREDICTED: interferon-induced GTP-binding protein Mx2 [Mandrillus leucophaeus]	XP_011839576.1	0.9683257918552036	0.0	656
PREDICTED: dynamin-3 isoform X6 [Mandrillus leucophaeus]	XP_011855826.1	0.6395173453996983	2.36454e-68	434
PREDICTED: dynamin-3 isoform X5 [Mandrillus leucophaeus]	XP_011855825.1	0.6395173453996983	4.6332e-66	434
PREDICTED: dynamin-3 isoform X2 [Mandrillus leucophaeus]	XP_011855821.1	0.6395173453996983	5.5372e-66	434
PREDICTED: dynamin-3 isoform X3 [Mandrillus leucophaeus]	XP_011855823.1	0.6395173453996983	5.60812e-66	434
PREDICTED: dynamin-3 isoform X1 [Mandrillus leucophaeus]	XP_011855820.1	0.6395173453996983	5.87559e-66	434
PREDICTED: dynamin-3 isoform X4 [Mandrillus leucophaeus]	XP_011855824.1	0.6395173453996983	6.49609e-66	434
PREDICTED: dynamin-1, partial [Mandrillus leucophaeus]	XP_011844076.1	0.5716440422322775	2.13865e-56	389
PREDICTED: dynamin-2 [Mandrillus leucophaeus]	XP_011850431.1	0.579185520361991	5.20618e-52	390
PREDICTED: dynamin-1-like protein [Mandrillus leucophaeus]	XP_011834930.1	0.4796380090497738	6.99061e-26	325
PREDICTED: dynamin-like 120 kDa protein, mitochondrial isoform X2 [Mandrillus leucophaeus]	XP_011836725.1	0.37858220211161386	1.26039e-19	257
PREDICTED: dynamin-like 120 kDa protein, mitochondrial isoform X1 [Mandrillus leucophaeus]	XP_011836724.1	0.4193061840120664	1.30754e-19	285
PREDICTED: ankyrin and armadillo repeat-containing protein [Mandrillus leucophaeus]	XP_011829644.1	0.14177978883861236	0.0809726	104
PREDICTED: LOW QUALITY PROTEIN: reticulocalbin-2 [Mandrillus leucophaeus]	XP_011838061.1	0.05580693815987934	0.515352	40
PREDICTED: mitofusin-1 [Mandrillus leucophaeus]	XP_011835767.1	0.05279034690799397	0.885312	36
PREDICTED: GRB2-associated and regulator of MAPK protein-like [Mandrillus leucophaeus]	XP_011828127.1	0.07541478129713423	0.980176	50
PREDICTED: DNA annealing helicase and endonuclease ZRANB3 isoform X1 [Mandrillus leucophaeus]	XP_011825671.1	0.11613876319758673	4.42912	77
PREDICTED: DNA annealing helicase and endonuclease ZRANB3 isoform X2 [Mandrillus leucophaeus]	XP_011825674.1	0.11613876319758673	4.46612	77
