Protein_ID	Accession	ID	Seq_length	Evalue	Bitscore	Tot_aln_span	Identity	Taxid	Organism_name	Description
XP_021060484.1	XP_021060484	ref|XP_021060484.1|	110	3.11569e-54	171.014	110	100.0	10093	Mus pahari	insulin-2 [Mus pahari]
XP_006977353.1	XP_006977353	ref|XP_006977353.1|	110	8.07403e-56	175.252	110	100.0	230844	Peromyscus maniculatus bairdii	insulin [Peromyscus maniculatus bairdii]
XP_004852149.1	XP_004852149	ref|XP_004852149.1|	110	3.97637e-50	160.614	110	100.0	10181	Heterocephalus glaber	insulin [Heterocephalus glaber]
XP_007466015.1	XP_007466015	ref|XP_007466015.1|	110	1.24891e-57	179.874	110	100.0	118797	Lipotes vexillifer	PREDICTED: insulin [Lipotes vexillifer]
XP_012507423.1	XP_012507423	ref|XP_012507423.1|	110	1.99056e-52	166.777	110	100.0	379532	Propithecus coquereli	PREDICTED: insulin [Propithecus coquereli]
XP_043437955.1	XP_043437955	ref|XP_043437955.1|	110	1.18876e-52	167.162	110	100.0	37029	Prionailurus bengalensis	insulin [Prionailurus bengalensis]
NP_001269184.1	NP_001269184	ref|NP_001269184.1|	110	2.65015e-50	161.384	110	100.0	43179	Ictidomys tridecemlineatus	insulin precursor [Ictidomys tridecemlineatus]
XP_011719621.1	XP_011719621	ref|XP_011719621.1|	98	1.18652e-53	169.088	110	100.0	9545	Macaca nemestrina	insulin isoform X2 [Macaca nemestrina]
P01313.2	P01313	sp|P01313.2|	110	9.11982e-55	172.555	110	100.0	10030	Cricetulus longicaudatus	RecName: Full=Insulin; Contains: RecName: Full=Insulin B chain; Contains: RecName: Full=Insulin A chain; Flags: Precursor
XP_011896559.1	XP_011896559	ref|XP_011896559.1|	110	2.52131e-72	216.853	110	100.0	9531	Cercocebus atys	PREDICTED: insulin [Cercocebus atys]
XP_028642854.1	XP_028642854	ref|XP_028642854.1|	110	3.48002e-53	168.318	110	100.0	491861	Grammomys surdaster	insulin-2 [Grammomys surdaster]
XP_032009711.1	XP_032009711	ref|XP_032009711.1|	110	9.80844e-73	218.009	110	100.0	81572	Hylobates moloch	insulin isoform X2 [Hylobates moloch]
XP_012311615.1	XP_012311615	ref|XP_012311615.1|	108	1.58305e-54	171.785	110	100.0	37293	Aotus nancymaae	insulin [Aotus nancymaae]
